english;ipa;portuguese;level;tags
evening;;noite, fim de tarde;A1;time
night;;noite;A1;time
today;;hoje;A1;time
tomorrow;;amanhã;A1;time
yesterday;;ontem;A1;time
hour;;hora;A1;time
minute;;minuto;A2;time
water;;água;A1;food
bread;;pão;A1;food
rice;;arroz;A1;food
meat;;carne;A1;food
fish;;peixe;A1;food
chicken;;frango;A1;food
egg;;ovo;A1;food
milk;;leite;A1;food
cheese;;queijo;A1;food
fruit;;fruta;A1;food
apple;;maçã;A1;food
banana;;banana;A1;food
orange;;laranja;A1;food
coffee;;café;A1;food
tea;;chá;A1;food
sugar;;açúcar;A1;food
salt;;sal;A1;food
pepper;;pimenta;A2;food
breakfast;;café da manhã;A2;food
lunch;;almoço;A2;food
dinner;;jantar;A2;food
phone;;telefone;A1;object
computer;;computador;A1;object
book;;livro;A1;object
pen;;caneta;A1;object
paper;;papel;A1;object
table;;mesa;A1;object
chair;;cadeira;A1;object
bed;;cama;A1;object
door;;porta;A1;object
window;;janela;A1;object
key;;chave;A1;object
bag;;bolsa, mochila;A1;object
money;;dinheiro;A1;money
card;;cartão;A1;money
clock;;relógio;A2;object
camera;;câmera;A2;object
problem;;problema;A2;general
solution;;solução;A2;general
question;;pergunta;A2;general
idea;;ideia;A2;general
message;;mensagem;A2;general
email;;e-mail;A2;general
meeting;;reunião;B1;work
project;;projeto;B1;work
deadline;;prazo;B1;work
schedule;;agenda, cronograma;B1;work
report;;relatório;B1;work
task;;tarefa;B1;work
goal;;meta, objetivo;B1;work
budget;;orçamento;B1;money
advice;;conselho;B1;general
stress;;estresse;B1;health
health;;saúde;B1;health
research;;pesquisa;B2;academic
context;;contexto;B2;academic
evidence;;evidência, prova;B2;academic
strategy;;estratégia;B2;work
impact;;impacto;B2;general
policy;;política, diretriz;B2;work
economy;;economia;B2;general
culture;;cultura;B2;general
behavior;;comportamento;B2;general
priority;;prioridade;B2;work
resource;;recurso;B2;work
requirement;;requisito;B2;work
challenge;;desafio;B2;general
opportunity;;oportunidade;B2;general
outcome;;resultado;B2;general
framework;;estrutura, arcabouço;C1;work
compliance;;conformidade;C1;work
sustainability;;sustentabilidade;C1;general
innovation;;inovação;C1;general
stakeholder;;parte interessada;C1;work
transparency;;transparência;C1;general
accountability;;responsabilização;C1;work
constraint;;restrição;C1;work
ambiguity;;ambiguidade;C1;general
proficiency;;proficiência;C1;general
methodology;;metodologia;C2;academic
discrepancy;;discrepância;C2;general
interdependence;;interdependência;C2;general
conundrum;;enigma, dilema;C2;general
hypothesis;;hipótese;C2;academic
phenomenon;;fenômeno;C2;academic
precedent;;precedente;C2;general
implication;;implicação;C2;general
contingency;;contingência;C2;general
paradigm;;paradigma;C2;academic
good;;bom;A1;adjective
bad;;ruim;A1;adjective
big;;grande;A1;adjective
small;;pequeno;A1;adjective
new;;novo;A1;adjective
old;;velho;A1;adjective
young;;jovem;A1;adjective
hot;;quente;A1;adjective
cold;;frio;A1;adjective
fast;;rápido;A1;adjective
slow;;lento;A1;adjective
easy;;fácil;A1;adjective
hard;;difícil;A1;adjective
happy;;feliz;A1;adjective
sad;;triste;A1;adjective
tired;;cansado;A1;adjective
hungry;;com fome;A1;adjective
thirsty;;com sede;A1;adjective
busy;;ocupado;A1;adjective
free;;livre;A1;adjective
right;;certo;A1;adjective
wrong;;errado;A1;adjective
clean;;limpo;A1;adjective
dirty;;sujo;A1;adjective
important;;importante;A2;adjective
different;;diferente;A2;adjective
same;;mesmo, igual;A2;adjective
ready;;pronto;A2;adjective
late;;atrasado;A2;adjective
early;;cedo;A2;adjective
safe;;seguro;A2;adjective
dangerous;;perigoso;A2;adjective
noisy;;barulhento;A2;adjective
quiet;;silencioso;A2;adjective
strong;;forte;A2;adjective
weak;;fraco;A2;adjective
beautiful;;bonito;A2;adjective
ugly;;feio;A2;adjective
interesting;;interessante;A2;adjective
boring;;chato;A2;adjective
expensive;;caro;A2;adjective
cheap;;barato;A2;adjective
popular;;popular;A2;adjective
famous;;famoso;A2;adjective
reliable;;confiável;B1;adjective
useful;;útil;B1;adjective
common;;comum;B1;adjective
serious;;sério;B1;adjective
patient;;paciente;B1;adjective
confident;;confiante;B1;adjective
nervous;;nervoso;B1;adjective
honest;;honesto;B1;adjective
private;;privado;B1;adjective
public;;público;B1;adjective
complex;;complexo;B2;adjective
significant;;significativo;B2;adjective
efficient;;eficiente;B2;adjective
accurate;;preciso;B2;adjective
relevant;;relevante;B2;adjective
flexible;;flexível;B2;adjective
realistic;;realista;B2;adjective
critical;;crítico;B2;adjective
essential;;essencial;B2;adjective
global;;global;B2;adjective
sophisticated;;sofisticado;C1;adjective
nuanced;;cheio de nuances;C1;adjective
substantial;;substancial;C1;adjective
coherent;;coerente;C1;adjective
pragmatic;;pragmático;C1;adjective
inevitable;;inevitável;C1;adjective
resilient;;resiliente;C1;adjective
preliminary;;preliminar;C1;adjective
robust;;robusto;C1;adjective
concise;;conciso;C1;adjective
unequivocal;;inequívoco;C2;adjective
meticulous;;meticuloso;C2;adjective
ubiquitous;;onipresente;C2;adjective
intrinsic;;intrínseco;C2;adjective
paramount;;primordial;C2;adjective
unprecedented;;sem precedentes;C2;adjective
multifaceted;;multifacetado;C2;adjective
enigmatic;;enigmático;C2;adjective
contentious;;controverso;C2;adjective
consequential;;consequente, importante;C2;adjective
black;;preto;A1;color
white;;branco;A1;color
red;;vermelho;A1;color
blue;;azul;A1;color
green;;verde;A1;color
yellow;;amarelo;A1;color
brown;;marrom;A1;color
pink;;rosa;A1;color
gray;;cinza;A1;color
purple;;roxo;A1;color
