id,english,portuguese,level,category,grammar_points
79,Do you want to order something to eat?,Você quer pedir algo para comer?,A2,food,Want to + infinitive
80,Let's eat out tonight!,Vamos comer fora hoje à noite!,B1,food,"Let's for suggestions, phrasal verb 'eat out'"
81,What would you like for dinner?,O que você gostaria para o jantar?,A2,food,Would like for + meal
82,I have to wake up at 7.,Eu tenho que acordar às 7.,A2,daily_life,"Have to for obligation, phrasal verb 'wake up'"
83,I'm too tired.,Estou muito cansado(a).,A2,feelings,Too + adjective
84,I'm going to bed.,Vou para a cama.,A1,daily_life,Going to for immediate future
85,Are you hungry?,Você está com fome?,A1,feelings,To be + adjective for physical states
86,Can you translate this for me?,Você pode traduzir isso para mim?,A2,learning,"Can for requests, verb 'translate'"
87,From time to time.,De vez em quando.,B1,time,Frequency expressions
88,How's work going?,Como está o trabalho?,B1,work,Present continuous for ongoing situations
89,I don't like him.,Eu não gosto dele.,A1,opinion,Object pronouns (him)
90,I don't want to bother you.,Eu não quero te incomodar.,B1,conversation,"Want to + infinitive, polite expression"
91,"If you need my help, please let me know.","Se você precisar da minha ajuda, por favor me avise.",B1,conversation,"Conditional sentence, expression 'let me know'"
92,I'll take you to the bus stop.,Vou te levar até o ponto de ônibus.,A2,transportation,"Future simple, verb 'take'"
93,I lost my watch.,Eu perdi meu relógio.,A2,daily_life,"Past simple, irregular verb 'lose-lost-lost'"
94,I'm cleaning my room.,Estou limpando meu quarto.,A2,daily_life,Present continuous for action in progress
95,I'm coming to pick you up.,Estou indo te buscar.,B1,transportation,"Present continuous for near future, phrasal verb 'pick up'"
96,I'm not busy.,Não estou ocupado(a).,A2,daily_life,Negative with 'be'
97,I'm not ready yet.,Ainda não estou pronto(a).,A2,daily_life,Not yet for incomplete actions
98,I'm very busy. I don't have time now.,Estou muito ocupado(a). Não tenho tempo agora.,A2,daily_life,Compound sentences
99,I only want a snack.,Eu só quero um lanche.,A2,food,Adverb 'only'
100,I think it tastes good.,Eu acho que tem um gosto bom.,B1,food,Verb 'taste' for flavor
101,I've been here for two days.,Estou aqui há dois dias.,B1,time,Present perfect for duration (for + period)
102,I've heard rio is a beautiful place.,Ouvi dizer que o rio é um lugar bonito.,B1,travel,"Present perfect, reported speech"
103,I've never seen that before.,Eu nunca vi isso antes.,B1,experience,Present perfect with 'never'
104,May I speak to mrs. Smith please?,"Posso falar com a sra. Smith, por favor?",B1,communication,Modal 'may' for formal requests
105,More than that.,Mais do que isso.,A2,comparison,Comparative structure 'more than'
106,Never mind.,Deixa pra lá.,B1,conversation,Fixed expression
107,Please take me to this address.,"Por favor, me leve a este endereço.",A2,transportation,"Imperative, verb 'take'"
108,Sorry to bother you.,Desculpe te incomodar.,B1,conversation,Sorry to + infinitive
109,Take a chance.,Arrisque.,B1,advice,Expression 'take a chance'
110,Thanks for your help.,Obrigado pela sua ajuda.,A2,conversation,Thanks for + noun
111,That looks great.,Isso parece ótimo.,A2,opinion,Verb 'look' for appearance
112,That's enough.,Já chega.,A2,conversation,Expression for sufficiency
113,That smells bad.,Isso tem cheiro ruim.,A2,description,Verb 'smell' for odor
114,That's not fair.,Isso não é justo.,B1,opinion,Adjective 'fair'
115,That's not right.,Isso não está certo.,A2,opinion,Right (correct/direction)
116,That's too bad.,Que pena.,A2,conversation,Sympathy expression
117,This doesn't work.,Isso não funciona.,A2,daily_life,Doesn't for third person singular
118,This is very difficult.,Isso é muito difícil.,A2,learning,Very + adjective
119,Are you free tonight?,Você está livre hoje à noite?,A2,social,Free (available/gratis)
120,Are you sure?,Você tem certeza?,A2,conversation,To be + sure
121,Do you feel better?,Você está se sentindo melhor?,A2,health,Feel better expression
122,Water under the bridge!,Águas passadas!,C1,idioms,Idiomatic expression for forgetting the past
123,Break a leg!,Boa sorte!,B2,idioms,Idiom for wishing good luck
124,It's raining cats and dogs.,Está chovendo muito.,B2,idioms,Idiom for heavy rain
125,Once in a blue moon.,De vez em nunca.,C1,idioms,Idiom for rare events
126,To kick the bucket.,Bater as botas.,C1,idioms,Euphemism for dying
127,Mind your own business!,Cuide da sua vida!,B2,idioms,Imperative expression
128,To cost an arm and a leg.,Custar os olhos da cara.,B2,idioms,Idiom for expensive
129,Give me a break!,Me poupe!,B2,idioms,Expression of disbelief
130,It's a piece of cake!,É moleza!,B2,idioms,Idiom for something easy
131,To sleep like a log.,Dormir como uma pedra.,B2,idioms,Simile for deep sleep
