english,portuguese,level,category,grammar_points
"I usually pay with my card.","Eu normalmente pago com cartão.",A2,shopping,"[""present simple"", ""frequency adverbs""]"
"The store is closed on Sundays.","A loja fecha aos domingos.",A2,shopping,"[""present simple"", ""days of the week""]"
"My phone battery is low.","A bateria do meu celular está baixa.",A2,technology,"[""verb to be"", ""adjectives""]"
"I need to charge my phone.","Eu preciso carregar meu celular.",A2,technology,"[""need to"", ""infinitive""]"
"I forgot my keys at home.","Eu esqueci minhas chaves em casa.",A2,home,"[""past simple"", ""regular verbs""]"
"I lost my wallet yesterday.","Eu perdi minha carteira ontem.",A2,life_events,"[""past simple"", ""time expressions""]"
"I bought some fruit after work.","Eu comprei algumas frutas depois do trabalho.",A2,shopping,"[""past simple"", ""some/any""]"
"We cooked pasta last night.","Nós cozinhamos macarrão ontem à noite.",A2,food,"[""past simple"", ""time expressions""]"
"Did you watch the game?","Você assistiu ao jogo?",A2,leisure,"[""past simple questions"", ""auxiliary did""]"
"What time do you get up?","Que horas você se levanta?",A1,daily_routine,"[""present simple questions""]"
"Where do you live?","Onde você mora?",A1,personal_info,"[""present simple questions""]"
"Do you want some coffee?","Você quer um café?",A1,food,"[""present simple questions"", ""some/any""]"
"I’m going to the gym after work.","Eu vou à academia depois do trabalho.",A2,health,"[""going to"", ""future plans""]"
"We’re going to visit my parents on Saturday.","Nós vamos visitar meus pais no sábado.",A2,plans,"[""going to"", ""time expressions""]"
"I need to schedule a dentist appointment.","Eu preciso marcar uma consulta no dentista.",B1,health,"[""need to"", ""gerunds/infinitives""]"
"I’ve been feeling tired lately.","Eu tenho me sentido cansado ultimamente.",B1,health,"[""present perfect continuous""]"
"I’ve already paid the electricity bill.","Eu já paguei a conta de luz.",B1,home,"[""present perfect"", ""already""]"
"I have never tried sushi.","Eu nunca experimentei sushi.",B1,food,"[""present perfect"", ""never""]"
"If it rains, I’ll take a taxi.","Se chover, vou pegar um táxi.",B1,transport,"[""first conditional""]"
"If I finish early, I’ll cook dinner.","Se eu terminar cedo, eu faço o jantar.",B1,home,"[""first conditional""]"
"My bus was late, so I arrived late.","Meu ônibus atrasou, então eu cheguei tarde.",B1,transport,"[""past simple"", ""linking words""]"
"I usually shop online to save time.","Eu geralmente compro online para economizar tempo.",B1,shopping,"[""present simple"", ""infinitive of purpose""]"
"The traffic is heavier during rush hour.","O trânsito é mais pesado no horário de pico.",B1,transport,"[""comparatives""]"
"This coffee is too hot.","Este café está muito quente.",A2,food,"[""too + adjective""]"
"The line is very long today.","A fila está muito grande hoje.",A2,shopping,"[""adjectives"", ""present simple""]"
"Can I have the receipt, please?","Posso ficar com o recibo, por favor?",A2,shopping,"[""modal can"", ""polite requests""]"
"I need to return this shirt.","Eu preciso devolver esta camisa.",A2,shopping,"[""need to"", ""infinitive""]"
"The fridge is almost empty.","A geladeira está quase vazia.",A2,home,"[""adverbs of degree"", ""verb to be""]"
"Please turn off the lights.","Por favor, apague as luzes.",A1,home,"[""imperatives""]"
"Don’t forget to lock the door.","Não se esqueça de trancar a porta.",A2,home,"[""imperatives"", ""negative commands""]"
"I’m stuck in traffic right now.","Estou preso no trânsito agora.",B1,transport,"[""present continuous"", ""everyday expressions""]"
"I’ll call you when I get home.","Eu vou te ligar quando chegar em casa.",B1,communication,"[""future with will"", ""time clauses""]"
"Could you repeat that, please?","Você poderia repetir isso, por favor?",A2,conversation,"[""polite requests"", ""modal could""]"
"I think we should order takeout tonight.","Acho que deveríamos pedir comida hoje à noite.",B1,food,"[""should"", ""modal advice""]"
"Let’s take a break.","Vamos fazer uma pausa.",A1,work,"[""let's"", ""common phrases""]"
"I have a meeting at 3 p.m.","Eu tenho uma reunião às 15h.",A2,work,"[""have"", ""time expressions""]"
"The internet is down again.","A internet caiu de novo.",B1,technology,"[""present simple"", ""adverbs""]"
"My phone storage is full.","O armazenamento do meu celular está cheio.",A2,technology,"[""verb to be"", ""adjectives""]"
"I need to update this app.","Eu preciso atualizar este aplicativo.",A2,technology,"[""need to"", ""infinitive""]"
"I’m going to sleep early tonight.","Eu vou dormir cedo hoje à noite.",A2,daily_routine,"[""going to"", ""future plans""]"
