english,portuguese,level,category,grammar_points
I go to the bookstore at 10:00 a.m. on Sunday.,Eu vou à livraria às 10:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the coffee shop at noon on Friday.,Eu vou à cafeteria às meio-dia na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the drugstore at 7:00 a.m. on Tuesday.,Eu vou à farmácia às 7:00 na terça-feira.,A1,shopping,"[""present simple""]"
I want a orange juice and a soup.,Eu quero um suco de laranja e sopa.,A1,food,"[""present simple""]"
I go to the gas station at 3:00 p.m. on Monday.,Eu vou à posto de gasolina às 15:00 na segunda-feira.,A1,shopping,"[""present simple""]"
What time do you wake up on Tuesday?,Que horas você acorda na terça-feira?,A1,daily_routine,"[""present simple"", ""time expressions""]"
I go to the drugstore at 8:00 a.m. on Friday.,Eu vou à farmácia às 8:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I drink orange juice tonight.,Eu bebo suco de laranja hoje à noite.,A1,daily_routine,"[""present simple""]"
I go to the hardware store at 7:00 a.m. on Tuesday.,Eu vou à loja de ferragens às 7:00 na terça-feira.,A1,shopping,"[""present simple""]"
I pay bills every other day.,"Eu pagar contas dia sim, dia não.",A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I go to the supermarket on Sunday.,Eu vou ao o supermercado na domingo.,A1,transport,"[""present simple""]"
I pay with cash at the drugstore.,Eu pago com dinheiro na farmácia.,A1,shopping,"[""present simple""]"
I go to the clothing store at 9:00 a.m. on Saturday.,Eu vou à loja de roupas às 9:00 na sábado.,A1,shopping,"[""present simple""]"
I work out once a month.,Eu treinar uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
Do you go to the office by bike?,Você vai ao o escritório de bicicleta?,A1,conversation,"[""present simple questions""]"
I go to the hardware store at 7:00 a.m. on Monday.,Eu vou à loja de ferragens às 7:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 5:00 p.m. on Tuesday.,Eu vou à posto de gasolina às 17:00 na terça-feira.,A1,shopping,"[""present simple""]"
I wake up at 7:00 p.m..,Eu acordo às 19:00.,A1,daily_routine,"[""present simple""]"
I need eggs for a late snack.,Eu preciso de ovos para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I need eggs for dinner.,Eu preciso de ovos para o jantar.,A1,daily_routine,"[""present simple""]"
I drink soda this afternoon.,Eu bebo refrigerante hoje à tarde.,A1,daily_routine,"[""present simple""]"
I go to the hardware store at 7:00 p.m. on Thursday.,Eu vou à loja de ferragens às 19:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I need soap for dinner.,Eu preciso de sabão para o jantar.,A1,daily_routine,"[""present simple""]"
I go to the coffee shop at 9:00 a.m. on Thursday.,Eu vou à cafeteria às 9:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 8:00 p.m. on Friday.,Eu vou à cafeteria às 20:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I need shampoo for a late snack.,Eu preciso de shampoo para o um lanche tarde.,A1,daily_routine,"[""present simple""]"
I go to the coffee shop at 1:00 p.m. on Thursday.,Eu vou à cafeteria às 13:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 3:00 p.m. on Thursday.,Eu vou à padaria às 15:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the grocery store at 7:00 a.m. on Friday.,Eu vou à mercado às 7:00 na sexta-feira.,A1,shopping,"[""present simple""]"
Is it hot this morning?,Está quente hoje de manhã?,A1,weather,"[""verb to be""]"
I go to the hardware store at 9:00 a.m. on Thursday.,Eu vou à loja de ferragens às 9:00 na quinta-feira.,A1,shopping,"[""present simple""]"
The bakery is quiet this afternoon.,A padaria está tranquilo hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the grocery store at 10:00 a.m. on Tuesday.,Eu vou à mercado às 10:00 na terça-feira.,A1,shopping,"[""present simple""]"
I cook at home on weekends.,Eu cozinhar em casa nos fins de semana.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I want a coffee and a sushi.,Eu quero um café e sushi.,A1,food,"[""present simple""]"
I go to the coffee shop at noon on Tuesday.,Eu vou à cafeteria às meio-dia na terça-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 8:00 p.m. on Thursday.,Eu vou à posto de gasolina às 20:00 na quinta-feira.,A1,shopping,"[""present simple""]"
Do you go to downtown by walk?,Você vai ao o centro de a pé?,A1,conversation,"[""present simple questions""]"
I cook at home once a month.,Eu cozinhar em casa uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I pay with mobile payment at the clothing store.,Eu pago com pagamento por celular na loja de roupas.,A1,shopping,"[""present simple""]"
I go for a walk once a month.,Eu fazer uma caminhada uma vez por mês.,A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
The bakery is crowded this afternoon.,A padaria está cheio hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the clothing store at 6:00 a.m. on Thursday.,Eu vou à loja de roupas às 6:00 na quinta-feira.,A1,shopping,"[""present simple""]"
The coffee shop is quiet this morning.,A cafeteria está tranquilo hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the gas station at 5:00 p.m. on Thursday.,Eu vou à posto de gasolina às 17:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the the post office with my sister.,Eu vou ao os correios com minha irmã.,A1,leisure,"[""present simple""]"
The coffee shop is clean this afternoon.,A cafeteria está limpo hoje à tarde.,A1,shopping,"[""verb to be""]"
I go to the bookstore at 8:00 a.m. on Thursday.,Eu vou à livraria às 8:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at noon on Saturday.,Eu vou à cafeteria às meio-dia na sábado.,A1,shopping,"[""present simple""]"
I do the laundry after a late snack.,Eu lavar roupa depois do um lanche tarde.,A1,home,"[""present simple""]"
I go to the mall on Friday.,Eu vou ao o shopping na sexta-feira.,A1,transport,"[""present simple""]"
I buy toothpaste at the gas station.,Eu compro pasta de dente na posto de gasolina.,A1,shopping,"[""present simple""]"
I go to the bakery at 5:00 p.m. on Saturday.,Eu vou à padaria às 17:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the grocery store at 8:00 p.m. on Tuesday.,Eu vou à mercado às 20:00 na terça-feira.,A1,shopping,"[""present simple""]"
I visit family every other day.,"Eu visitar a família dia sim, dia não.",A1,daily_routine,"[""present simple"", ""frequency adverbs""]"
I eat dinner at noon.,Eu faço jantar às meio-dia.,A1,daily_routine,"[""present simple""]"
Do you go to the office by walk?,Você vai ao o escritório de a pé?,A1,conversation,"[""present simple questions""]"
I pay with debit card at the clothing store.,Eu pago com cartão de débito na loja de roupas.,A1,shopping,"[""present simple""]"
I go to the the pharmacy with my sister.,Eu vou ao a farmácia com minha irmã.,A1,leisure,"[""present simple""]"
Do you like sandwich?,Você gosta de sanduíche?,A1,conversation,"[""present simple questions""]"
Do you go to the bank by bike?,Você vai ao o banco de bicicleta?,A1,conversation,"[""present simple questions""]"
I go to the bookstore at 7:00 a.m. on Friday.,Eu vou à livraria às 7:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 9:00 a.m. on Monday.,Eu vou à livraria às 9:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the drugstore at 10:00 a.m. on Saturday.,Eu vou à farmácia às 10:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the hardware store at 6:00 a.m. on Monday.,Eu vou à loja de ferragens às 6:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 7:00 a.m. on Thursday.,Eu vou à padaria às 7:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 7:00 a.m. on Thursday.,Eu vou à cafeteria às 7:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 3:00 p.m. on Saturday.,Eu vou à posto de gasolina às 15:00 na sábado.,A1,shopping,"[""present simple""]"
I go to the clothing store at 1:00 p.m. on Friday.,Eu vou à loja de roupas às 13:00 na sexta-feira.,A1,shopping,"[""present simple""]"
I go to the the library with my parents.,Eu vou ao a biblioteca com meus pais.,A1,leisure,"[""present simple""]"
I go to the gas station at 10:00 a.m. on Monday.,Eu vou à posto de gasolina às 10:00 na segunda-feira.,A1,shopping,"[""present simple""]"
Do you go to the supermarket by bus?,Você vai ao o supermercado de ônibus?,A1,conversation,"[""present simple questions""]"
I go to the bookstore at 6:00 a.m. on Wednesday.,Eu vou à livraria às 6:00 na quarta-feira.,A1,shopping,"[""present simple""]"
Is it windy this morning?,Está ventoso hoje de manhã?,A1,weather,"[""verb to be""]"
I go to the bakery at 5:00 p.m. on Friday.,Eu vou à padaria às 17:00 na sexta-feira.,A1,shopping,"[""present simple""]"
The coffee shop is clean this morning.,A cafeteria está limpo hoje de manhã.,A1,shopping,"[""verb to be""]"
I go to the bank on Tuesday.,Eu vou ao o banco na terça-feira.,A1,transport,"[""present simple""]"
I go to the grocery store at 7:00 p.m. on Monday.,Eu vou à mercado às 19:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the gas station at 10:00 a.m. on Thursday.,Eu vou à posto de gasolina às 10:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the bookstore at 7:00 a.m. on Thursday.,Eu vou à livraria às 7:00 na quinta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 9:00 a.m. on Monday.,Eu vou à cafeteria às 9:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 5:00 p.m. on Tuesday.,Eu vou à padaria às 17:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the downtown with my friend.,Eu vou ao o centro com meu amigo.,A1,leisure,"[""present simple""]"
I go to the drugstore at 5:00 p.m. on Tuesday.,Eu vou à farmácia às 17:00 na terça-feira.,A1,shopping,"[""present simple""]"
I want a soda and a burgers.,Eu quero um refrigerante e hambúrgueres.,A1,food,"[""present simple""]"
I go to the bank on Friday.,Eu vou ao o banco na sexta-feira.,A1,transport,"[""present simple""]"
Is it hot this afternoon?,Está quente hoje à tarde?,A1,weather,"[""verb to be""]"
I go to the bakery at 6:00 a.m. on Wednesday.,Eu vou à padaria às 6:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I buy eggs at the coffee shop.,Eu compro ovos na cafeteria.,A1,shopping,"[""present simple""]"
The grocery store is quiet tonight.,A mercado está tranquilo hoje à noite.,A1,shopping,"[""verb to be""]"
Do you go to the library by bus?,Você vai ao a biblioteca de ônibus?,A1,conversation,"[""present simple questions""]"
I go to the drugstore at 3:00 p.m. on Wednesday.,Eu vou à farmácia às 15:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 7:00 p.m. on Wednesday.,Eu vou à cafeteria às 19:00 na quarta-feira.,A1,shopping,"[""present simple""]"
The gas station is clean tonight.,A posto de gasolina está limpo hoje à noite.,A1,shopping,"[""verb to be""]"
I like to pay bills.,Eu gosto de pagar contas.,A1,leisure,"[""like + to-infinitive""]"
I go to the library on Monday.,Eu vou ao a biblioteca na segunda-feira.,A1,transport,"[""present simple""]"
The coffee shop is cheap this morning.,A cafeteria está barato hoje de manhã.,A1,shopping,"[""verb to be""]"
I want a tea and a soup.,Eu quero um chá e sopa.,A1,food,"[""present simple""]"
I go to the gas station at 1:00 p.m. on Sunday.,Eu vou à posto de gasolina às 13:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the hardware store at 9:00 a.m. on Monday.,Eu vou à loja de ferragens às 9:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the pharmacy on Tuesday.,Eu vou ao a farmácia na terça-feira.,A1,transport,"[""present simple""]"
I eat dinner at 3:00 p.m..,Eu faço jantar às 15:00.,A1,daily_routine,"[""present simple""]"
I pay with mobile payment at the gas station.,Eu pago com pagamento por celular na posto de gasolina.,A1,shopping,"[""present simple""]"
I go to the drugstore at noon on Friday.,Eu vou à farmácia às meio-dia na sexta-feira.,A1,shopping,"[""present simple""]"
The drugstore is crowded tonight.,A farmácia está cheio hoje à noite.,A1,shopping,"[""verb to be""]"
I go to the drugstore at 3:00 p.m. on Tuesday.,Eu vou à farmácia às 15:00 na terça-feira.,A1,shopping,"[""present simple""]"
I go to the bakery at 9:00 a.m. on Friday.,Eu vou à padaria às 9:00 na sexta-feira.,A1,shopping,"[""present simple""]"
The grocery store is clean this morning.,A mercado está limpo hoje de manhã.,A1,shopping,"[""verb to be""]"
I want a orange juice and a salad.,Eu quero um suco de laranja e salada.,A1,food,"[""present simple""]"
I go to the grocery store at 1:00 p.m. on Monday.,Eu vou à mercado às 13:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the drugstore at 6:00 a.m. on Wednesday.,Eu vou à farmácia às 6:00 na quarta-feira.,A1,shopping,"[""present simple""]"
I go to the coffee shop at 6:00 a.m. on Monday.,Eu vou à cafeteria às 6:00 na segunda-feira.,A1,shopping,"[""present simple""]"
I go to the the post office with my parents.,Eu vou ao os correios com meus pais.,A1,leisure,"[""present simple""]"
I go to the bakery at 8:00 a.m. on Monday.,Eu vou à padaria às 8:00 na segunda-feira.,A1,shopping,"[""present simple""]"
The bakery is cheap this morning.,A padaria está barato hoje de manhã.,A1,shopping,"[""verb to be""]"
The bakery is clean this afternoon.,A padaria está limpo hoje à tarde.,A1,shopping,"[""verb to be""]"
Do you go to the pharmacy by car?,Você vai ao a farmácia de carro?,A1,conversation,"[""present simple questions""]"
I go to the coffee shop at 9:00 a.m. on Sunday.,Eu vou à cafeteria às 9:00 na domingo.,A1,shopping,"[""present simple""]"
I go to the bakery at 7:00 p.m. on Sunday.,Eu vou à padaria às 19:00 na domingo.,A1,shopping,"[""present simple""]"
I pay with credit card at the grocery store.,Eu pago com cartão de crédito na mercado.,A1,shopping,"[""present simple""]"
What time do you wake up on Wednesday?,Que horas você acorda na quarta-feira?,A1,daily_routine,"[""present simple"", ""time expressions""]"
I eat lunch at 8:00 a.m..,Eu faço almoço às 8:00.,A1,daily_routine,"[""present simple""]"
