source_line,kept_tokens,reason
presentear,presentear,kept
preservar,preservar,kept
presidente,presidente,kept
pressentimento,pressentimento,kept
privilegiar,privilegiar,kept
probabilidade,probabilidade,kept
processo,processo,kept
produtos de forma mais eficaz,,multi-word phrase
progredir,progredir,kept
publicidade,publicidade,kept
quadril,quadril,kept
qualquer que,,multi-word phrase
quarta-feira,quarta-feira,kept
que vale a pena,,multi-word phrase
rape,rape,kept
rapist,rapist,kept
rede internacional de computadores,,multi-word phrase
relaxamento,relaxamento,kept
repentinamente,repentinamente,kept
respeito de,,multi-word phrase
russia,russia,kept
russian,russian,kept
sadio,sadio,kept
satisfazer,satisfazer,kept
saturday,saturday,kept
saxofone,saxofone,kept
screw driver,,multi-word phrase
september,september,kept
sequestrar,sequestrar,kept
single bed,,multi-word phrase
smoothy,smoothy,kept
soft drink,,multi-word phrase
sogra,sogra,kept
spain,spain,kept
steak house,,multi-word phrase
stor,stor,kept
subjugar,subjugar,kept
suicide,suicide,kept
sunday,sunday,kept
surgem problemas,,multi-word phrase
surpreendente,surpreendente,kept
tecelagem,tecelagem,kept
their,their,kept
there to be,,multi-word phrase
thousandth,thousandth,kept
thursday,thursday,kept
tight,tight,kept
tooth paste,,multi-word phrase
touch,touch,kept
tow,tow,kept
tuesday,tuesday,kept
uma casa,,multi-word phrase
unir,unir,kept
united states of,,multi-word phrase
universidade,universidade,kept
universo,universo,kept
venda por atacado,,multi-word phrase
verbo auxiliar do condicional,,multi-word phrase
viajante,viajante,kept
vinho,vinho,kept
was,was,kept
white-,,rejected
your,your,kept
