id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
135,agile,,Ã¡gil,A1,adjective,,,The gymnast was agile and could perform many difficult routines.,O ginasta era ágil e podia realizar muitas rotinas difíceis.,
137,ah,,ah [alÃ­vio,A1,,,,I felt ah cold breeze on my skin when I opened the window.,Senti uma brisa fria no meu pele quando eu abri a janela.,
138,ahead,,em frente,A1,adverb,,,She walked ahead of her friends to get a better seat at the concert.,Ela caminhou à frente dos amigos para conseguir um melhor lugar no palco.,
139,aid,,"""ajuda",auxÃ­lio,,,,The charity group provided much-needed aid to the families affected by the natural disaster.,O grupo de caridade forneceu ajuda necessária às famílias afetadas pelo desastre natural.,
140,ail,,"""socorro","ajuda""",A1,,,I felt a small ail when I stepped on a sharp rock.,Senti uma pequena dor quando pishei em uma pedra afiada.,
143,air-conditioning,,sistema de ar condicionado,A1,noun,,,The new car has a modern system that includes air-conditioning to keep passengers cool during long road trips.,O carro novo tem um sistema moderno que inclui ar condicionado para manter os passageiros frescos durante longas viagens de estrada.,
145,airline,,companhia aÃ©rea,A1,noun,,,I booked a ticket on my favorite airline to visit my grandparents.,Eu comprei uma vaga na minha companhia aérea favorita para visitar os meus avós.,
150,alcohol,,Ã¡lcool,A1,noun,,,Some people choose to give up drinking alcohol when they get older.,Alguns pessoas escolhem parar de beber álcool quando se tornam mais velhas.,
151,alert,,alerta,A1,,,,The police car sped by with its lights flashing and gave an alert to everyone on the road.,A polícia passou em alta velocidade com seus faróis piscando e deu alerta para todos que estavam na rua.,
152,alias,,"""vulgo",tambÃ©m conhecido como,,,,She used an alias to keep her online identity separate from her real life.,Ela usou um pseudônimo para manter sua identidade online separada de sua vida real.,
159,alliance,,"""alianÃ§a","uniÃ£o""",A1,,,O estado de estar aliado.,Estar de aliança com um estado ou uma organização política.,
162,almost,,quase,A1,adverb,,,She's almost ready to go to the beach.,Ela está quase pronta para ir à praia.,
164,along,,ao longo de,A1,adverb,,,She walks along the beach every morning to clear her mind.,Ela caminha pela praia todos os manhãs para esvaziar sua mente.,
165,aloud,,em voz alta,A1,adjective,,,"The teacher reminded her to speak clearly and loudly, so she spoke aloud to the whole class.",A professora pediu que ela falasse claramente e sozinha em voz alta.,
166,alphabet,,alfabeto,A1,noun,,,Children learn to read from an alphabet book at home every day.,Crianças aprendem a ler de um livro de alfabeto em casa todos os dias.,
168,also,,tambÃ©m,A1,adverb,,,My friend also likes to go to the beach on Sundays.,Minha amiga também gosta de ir à praia nos domingos.,
169,altar,,altar,A1,noun,,,The family went to church on Sunday and sat at the altar before the ceremony began.,A família foi à igreja no domingo e sentou-se na frente do altar antes de começar a cerimônia.,
170,alter,,alterar,A1,verb,,,The police officer will alter the road sign to make it clearer.,O policial vai mudar o sinal de trânsito para que seja mais claro.,
171,alternative,,alternativa,A1,noun,,,I have two favourite coffee shops: one is very expensive and the other has a much better alternative that's more affordable.,Tenho dois cafés favoritos: um é muito caro e o outro tem uma opção melhor que é mais acessível.,
173,altogether,,"""completamente","inteiramente""",A1,,,She put all her clothes away altogether in her tidy bedroom.,Ela colocou todos os seus roupas de volta em sua cozinha limpa.,
174,aluminum,,alumÃ­nio,A1,noun,,,She uses aluminum foil to cover the leftovers in her lunchbox.,Ela usa folha de alumínio para cobrir os restos do almoço em sua caixa de lunch.,
175,always,,sempre,A1,adverb,,,She always takes her umbrella when it rains outside.,Ela sempre leva seu chapéu quando chove fora.,
177,a.m,,antes do meio dia,A1,,,,"que se traduz como """"antes do meio-dia.""",Antes do meio-dia.,
178,amateur,,antes do meio-dia,A1,noun,,,She is an amateur gardener and spends most of her free time taking care of her plants before midday.,Ela é uma jardineira amadora e passa a maior parte do tempo livre cuidando das suas plantas até o meio dia.,
179,amazing,,amador,A1,verb,,,She thought the fireworks display was amazing.,Ela achou que a apresentação de fogos de artifício era incrível.,
181,ambulance,,ambulÃ¢ncia,A1,noun,,,The police officer pulled up alongside a big yellow ambulance and helped the woman out of her car.,O policial puxou o carro de ambulância amarela ao lado e ajudou a mulher a sair do carro.,
182,amend,,"""emendar",corrigir,"retificar""",,,(usually in the plural) An act of righting a wrong,Ação de corrigir um erro.,
183,america,,AmÃ©rica [do Norte ou do Sul],A1,,,,My family is visiting America next summer.,Minha família vai visitar América no próximo verão.,
185,among,,entre [mais de dois],A1,preposition,,,The children played among the swings and slides at the park.,Os filhos brincaram nas escadas e na corda em parque.,
186,amount,,"""quantia",A1,,,,She asked her bank how much money she could borrow from an amount of $500.,Ela perguntou ao banco quantos dólares ela podia emprestar de um total de $500.,
187,ample,,"""amplo","espaÃ§oso""",A1,,,My room is ample for all my friends to visit.,Meu quarto é amplo o suficiente para todos os meus amigos visitarem.,
188,amuse,,"""divertir","entreter""",A1,,,The children found the clown's silly antics enough to amuse their aunt at the party.,Os filhos acharam que as ações engraçadas do maluco eram suficientes para surpreender sua tia no festim.,
