id,english,ipa,portuguese,level,word_type,definition_en,definition_pt,example_en,example_pt,tags
178,amateur,,antes do meio-dia,A1,noun,,,She is an amateur gardener and loves to plant flowers before midday.,Ela é uma jardinadora amadora e adora plantar flores antes do meio-dia.,
179,amazing,,amador,A1,verb,,,The fireworks display was amazing last night.,A exposição de fogo artificiais foi incrível ontem à noite.,
181,ambulance,,ambulÃ¢ncia,A1,noun,,,The ambulance drove quickly to the hospital after a serious car accident.,Um ambulância dirigiu rapidamente ao hospital após um acidente de carro grave.,
182,amend,,"""emendar",corrigir,"retificar""",,,(usually in the plural) An act of righting a wrong,Ação de corrigir uma injustiça.,
183,america,,AmÃ©rica [do Norte ou do Sul],A1,,,,I'm planning a trip to America next month with my family.,Estou planejando uma viagem com minha família para os Estados Unidos no próximo mês.,
185,among,,entre [mais de dois],A1,preposition,,,The children played among the trees in the park.,Os crianças brincaram entre os árvores do parque.,
186,amount,,"""quantia",A1,,,,The store will give you a refund up to amount of money that was paid for the defective item.,O estabelecimento de varejo lhe dará um reembolso até o valor pago pelo item defeituoso.,
187,ample,,"""amplo","espaÃ§oso""",A1,,,She had an ample breakfast to prepare for her busy day ahead.,Ela teve um café da manhã abundante para se preparar para o dia movimentado à frente.,
188,amuse,,"""divertir","entreter""",A1,,,The children were entertained by a clown who was trained to amuse them during the birthday party.,Os filhos foram divertidos com um careta treinada para fazê-los rir durante o aniversário.,
192,ancestor,,ancestral,A1,noun,,,at any distance of time,Em qualquer distância de tempo.,
193,anchor,,Ã¢ncora,A1,noun,,,The boat's anchor was left on the beach because it was too heavy to carry.,O ancinho da barca ficou na praia porque era muito pesado para levá-lo.,
194,ancient,,"""antigo","velho""",A1,,,Uma pessoa muito velha.,Pessoa idosa.,
196,angle,,Ã¢ngulo,A1,noun,,,The carpenter measured the angle of the roof to make sure it was even.,O carpinteiro mediu o ângulo do telhado para garantir que estivesse mesmo.,
198,angry,,zangado,A1,adjective,,,My little brother is angry when I take his toy.,Meu irmão pequeno fica irado quando eu tomarei seu brinquedo.,
200,ankle,,tornozelo,A1,noun,,,I sprained my ankle playing soccer yesterday.,Mei tornozelo doeu ontem ao jogar futebol.,
201,anniversary,,"""aniversÃ¡rio [exceto de nascimento]","dia""",A1,,,Um dia que Ã© um nÃºmero exato de anos (atÃ© o dia) desde que um evento significativo ocorreu. Frequentemente precedido por um nÃºmero ordinal indicando o nÃºmero de anos.,Um dia que é um número exato de anos desde que um evento significativo ocorreu.,
202,announce,,anunciar,A1,verb,,,The mayor will announce the new park's opening at the town hall tomorrow.,O prefeito anunciará o aberto do novo parque amanhã na prefeitura.,
203,annoy,,"""irritar","aborrecer""",A1,,,Uma sensaÃ§Ã£o de desconforto ou aborrecimento causada pelo que se desgosta.,Ira,
204,annoying,,irritante,A1,verb,,,My little brother can be annoying when he won't stop playing with my toys.,Meu irmão pequeno pode ser moleza quando não para brincar com meus brinquedos.,
205,annual,,anual,A1,noun,,,My annual payment to my landlord is due on January 1st.,Minha conta anual ao meu inquilino é vencida no 1º de janeiro.,
206,another,,um outro,A1,determiner,,,I want to go on another trip with my friends next year.,Quero fazer mais uma viagem com meus amigos no próximo ano.,
207,answer,,responder,A1,,,,The teacher asked the student if she had done her homework and then gave her an answer.,A professora perguntou se ela havia feito a tarefa e depois lhe deu uma resposta.,
210,anthem,,"""hino","cÃ¢ntico""",A1,,,AntÃ­fona.,Antifona.,
213,anxious,,ansioso,A1,adjective,,,I am feeling anxious before my first day at school.,Estou me sentindo ansioso no primeiro dia da escola.,
215,anybody,,"""alguÃ©m [em frases interrogativas]","""",A1,,,"If you're looking for a friend to hang out with, is anybody free tonight?",Você quer se encontrar com alguém para passar a noite?,
216,anyhow,,de qualquer forma,A1,adverb,,,"If it rains tomorrow, we will go to the park anyhow.","Se amanhecer chove tomorrow, vamos ao parque qualquercase.",
217,anyone,,"""alguÃ©m [em frases interrogativas]","""",A1,,,My mom is worried about anyone who might get lost during our school field trip.,Minha mãe está preocupada com qualquer pessoa que possa ficar perdida durante nossa viagem escolar.,
218,anything,,qualquer coisa em frases,A1,noun,,,"At the market, she asked her mother what to buy, and her mother said anything that looks fresh is good.","No mercado, ela perguntou à mãe o que comprar e a mãe disse qualquer coisa fresca é boa.",
219,anyway,,"""de qualquer modo","apesar de""",A1,,,I'm going to school anyway.,Vou à escola qualquer forma.,
221,apartment,,apartamento,A1,noun,,,I'm looking for a new apartment to rent.,Estou procurando um apartamento novo para alugar.,
223,apologize,,desculpar-se,A1,verb,,,My friend accidentally broke your vase and I will apologize to her tomorrow.,Minha amiga quebrou acidentalmente seu vaso e eu vou me desculpar com ela amanhã.,
224,apology,,desculpa,A1,,,,The company issued an apology to the customer after sending a defective product.,A empresa enviou uma carta de desculpa ao cliente após enviar um produto defeituoso.,
225,apparent,,aparente,A1,adjective,,,The new teacher seemed apparent when she explained the lesson to the students.,O novo professor parecia óbvio quando explicou a aula aos alunos.,
226,appeal,,"""apelar",recorrer,,,,The teacher asked the student to explain her grade so she could appeal the decision.,O professor pediu ao aluno que explicasse sua nota para poder apelar a decisão.,
227,appear,,aparecer,A1,verb,,,"The sun is shining brightly, and it will start to appear soon.",O sol brilha muito e logo vai aparecer.,
229,applicant,,"""candidato",pretendente,"requerente""",,,One who applies for something,Quem solicita algo.,
230,application,,"""formulÃ¡rio",requerimento,ficha,,,The bank asked me to fill out an application before I could get a loan.,O banco pediu que eu preenchesse uma aplicação antes de poder obter um empréstimo.,
231,apply,,"""candidatar-se",A1,,,,She wants to apply for a job at the library next week.,Ela quer solicitar uma vaga no livroário na próxima semana.,
232,appointment,,compromisso,A1,noun,,,I have a doctor's appointment tomorrow morning.,Tenho uma consulta médica amanhã à manhã.,
233,appreciate,,agradecer,A1,,,,I really appreciate the help I got from my teacher today.,Muito obrigado à minha professora por me ajudar hoje.,
234,apprehend,,apreender,A1,verb,,,The police officer was trying to apprehend the suspect who had just escaped from the crime scene.,A polícia estava tentando capturar o suspeito que havia fugido do local do crime.,
235,apprehension,,apreensÃ£o,A1,noun,,,The doctor's expression showed his concern and apprehension about the patient's serious illness.,O médico expressava sua preocupação com a doença grave do paciente.,
236,approach,,"""aproximar",A1,,,,I need to approach the water before I go swimming.,Preciso acordar antes de nadar.,
237,appropriate,,acesso,A1,verb,,,The teacher gave a presentation that was appropriate for her 6-year-old students.,A professora deu uma apresentação adequada para seus estudantes de 6 anos.,
238,approve,,aprovar,A1,verb,,,The school board will approve your request to build a new playground.,A comissão escolar aprovará sua solicitação para construir um novo playground.,
239,approximate,,aproximado,A1,,,,"The teacher tried to estimate how tall a student was when they were little, but now she thinks his height is probably approximate.","A professora tentou estimar a altura de um aluno quando era criança, mas agora acha que sua altura é provavelmente aproximada.",
241,apt,,apto,A1,adjective,,,She is apt at cooking and always makes a delicious meal for her family.,Ela é boa em cozinhar e sempre faz um prato delicioso para sua família.,
244,arch,,"""arco",A1,,,,The old bridge had a beautiful arch that spanned across the river.,O velho ponte tinha uma bela abóbada que cruzava o rio.,
247,area,,Ã¡rea,A1,noun,,,The park covers a large area near my home.,O parque abrange uma grande área perto da minha casa.,
248,argentina,,Argentina,A1,,,,The fans cheered loudly as the Argentina national soccer team took to the field at the World Cup.,Os fãs aplaudiram alto quando a seleção argentina de futebol foi ao campo na Copa do Mundo.,
249,Argentinean,,Argentino,A1,adjective,,,The Argentinean football team won the tournament against their Portuguese opponents.,O time de futebol da Argentina ganhou a competição contra os adversários portugueses.,
Argentinean: A common variation,"especially in the United States.""",,,A1,,,,,,
Argentinean: Uma variaÃ§Ã£o comum,"especialmente nos Estados Unidos""",,Este Ã© um exemplo com o argentino.,dict_en_404,,,,,,
251,armchair,,"""cadeira de braÃ§os","poltrona""",A1,,,Uma cadeira com apoios para os braÃ§os ou cotovelos.,Cadeira de apoio para braços ou cotovelos.,
254,around,,"""ao redor de","por volta de""",A1,,,Presente nas proximidades.,Está presente em uma área vizinha.,
255,arrange,,ordenar,A1,,,,She needs to arrange a table for ten guests at her party tonight.,Ela precisa preparar uma mesa com dez convidados hoje à noite.,
257,arrival,,chegada,A1,noun,,,The plane's arrival was delayed due to bad weather.,O voo chegou tarde devido ao mau tempo.,
258,arrive,,chegar,A1,verb,,,I'm going to arrive at the airport at 7am tomorrow.,Vou chegar ao aeroporto amanhã à uma hora da manhã.,
263,as,,"É™z*""",tanto quanto,,,,I like to eat as healthy as my grandmother does.,Gosto de comer assim que minha avó faz.,
265,ashamed,,envergonhado,A1,verb,,,My friend looks ashamed after tripping on the sidewalk today.,Meu amigo olha com vergonha porque tropeçou na calçada hoje.,
266,asia,,Ãsia,A1,,,,I like to read about my friends from Asia.,Gosto de ler sobre meus amigos da Ásia.,
269,ask,,pedir,A1,,,,My sister will ask me if I want to go to the movies tonight.,Minha irmã perguntará se eu quero ir ao cinema à noite.,
270,asleep,,adormecido,A1,adjective,,,My little brother is asleep on the couch.,Meu pequeno irmão está deitado no sofá.,
272,assail,,atacar,A1,,,,The police had to assail the suspect and bring him to justice quickly.,A polícia teve que atacar o suspeito e levá-lo à justiça rápido.,
275,assemble,,montar,A1,verb,,,The family will assemble to watch the fireworks on the beach tonight.,A família se reunirá na praia hoje à noite para assistir às fogatas.,
276,assess,,"""avaliar",A1,,,,The teacher will assess her students' work to decide on a good grade.,O professor avaliará o trabalho dos alunos para decidir uma nota boa.,
277,assign,,designar,A1,,,,The teacher will assign homework to the students after class.,O professor dará exercícios de casa aos alunos depois da aula.,
278,assist,,"""ajuda",A1,,,,The nurse will assist her patient with taking their medication tonight.,A enfermeira ajudará seu paciente a tomar sua medicação esta noite.,
279,assistant,,"""assistente","auxiliar""",A1,,,My mom is an assistant at the local bank.,Minha mãe trabalha como assistente em uma das bancos locais.,
280,associate,,associado,A1,,,,I work with an associate at my local community center to help people find jobs and get training.,Trabalho com um colega no centro comunitário local para ajudar as pessoas a encontrar empregos e obter treinamento.,
281,association,,associaÃ§Ã£o,A1,noun,,,The charity works to promote a positive association between mental health and physical fitness.,A caridade trabalha para promover uma associação positiva entre saúde mental e condicionamento físico.,
283,assume,,assumir,A1,verb,,,"When you meet someone new at a party, it's often necessary to assume that you don't know them yet.","Quando você conhece alguém novo em uma festa, é comum pensar que ainda não conhece essa pessoa.",
284,assure,,garantir,A1,,,,Can I assure you that I will be on time tomorrow?,Posso garantir que estarei na hora certa amanhã?,
285,astonish,,causar espanto,A1,verb,,,The fireworks will astonish everyone at the children's birthday party tonight.,Os fogos de artifício surpreenderão todos na festa de aniversário dos filhos esta noite.,
286,asylum,,"""asilo","abrigo""",A1,,,Um lugar seguro.,Um local tranquilo e seguro.,
288,ate,,passado de eat,A1,verb,,,My dog ate my shoe yesterday.,O meu cachorro comeu minha meia ontem.,
291,atmosphere,,atmosfera,A1,noun,,,The fireworks added to the atmosphere at the outdoor festival last night.,As chamas de fogos de artifício melhoraram a atmosfera do festival ao ar livre ontem à noite.,
293,atomic,,atÃ´mico,A1,noun,,,The physicist explained that an atomic structure is very small and makes up everything around us.,A física do átomo é muito pequena e faz parte de tudo ao nosso redor.,
295,attachment,,anexo,A1,noun,,,The new baby brought a lot of attachment to my heart.,O novo bebê me deu muita afeição no coração.,
296,attack,,atacar,A1,,,,The school is safe because of the regular security patrols to prevent an attack.,A escola é segura porque tem polícias regulares para evitar ataques.,
297,attain,,"""atingir","alcanÃ§ar""",A1,,,Obter (um objeto ou resultado desejado).,Obter um objeto ou resultado desejado.,
298,attempt,,tentativa,A1,noun,,,The teacher helped her student make one attempt at writing their first paragraph.,A professora ajudou seu aluno a tentar escrever o primeiro parágrafo.,
299,attend,,"""assistir","frequentar""",A1,,,Can you please tell me if she will attend our meeting tomorrow?,Pode me informar se ela estará presente à nossa reunião amanhã?,
300,attendant,,"""assistente",assessor,,,,The school's safety attendant was responsible for monitoring the playground during recess hours.,O responsável pela segurança da escola supervisionava o parque durante os intervalos de aula.,
301,attention,,atenÃ§Ã£o,A1,noun,,,The teacher gave her students all their attention before starting the lesson.,A professora deu toda sua atenção aos seus alunos antes de começar a aula.,
302,attitude,,atitude,A1,noun,,,She changed her attitude after hearing the good news about her promotion.,Ela mudou de atitude após ouvir as boas notícias sobre sua promoção.,
303,attorney,,advogado,A1,noun,,,The lawyer was an attorney who helped many people in her community.,O advogado era uma pessoa que ajudou muitas pessoas em sua comunidade.,
304,attract,,atrair,A1,verb,,,The magnet on my fridge will attract paper clips and other small metal objects.,O magneto na geladeira atrairá papelotes e outros objetos de metal pequenos.,
305,auction,,leilÃ£o,A1,,,,She bought a rare plant at the local auction.,Ela comprou uma planta rara em um leilão local.,
306,audience,,"""audiÃªncia",A1,,,,The movie theater was designed to seat a large audience.,O cinema foi projetado para receber um grande público.,
308,auditorium,,auditÃ³rio,A1,noun,,,The school held a concert in its auditorium every year.,O colégio realiza um concerto todos os anos no auditório.,
310,aunt,,tia,A1,noun,,,My aunt is visiting me from America next weekend.,Minha tia vai visitar-me da América no final de semana que vem.,
314,authority,,autoridade,A1,noun,,,The police have authority to stop speeding cars on the highway.,A polícia tem autoridade para parar carros que estão desacelerando demais na rodovia.,
316,automatic,,automÃ¡tico,A1,noun,,,She buys her groceries at an automatic cash machine every week.,Ela comprou sua comida em uma máquina de sacar dinheiro automática todos os dias da semana.,
319,autumn,,outono,A1,noun,,,I love walking in the autumn leaves on Sundays.,Gosto de caminhar nas folhas de outono nos domingos.,
320,available,,disponÃ­vel,A1,adjective,,,My phone is available if you need to use it.,Minha telefone está disponível se você precisar usá-lo.,
322,average,,mÃ©dia,A1,noun,,,She has to take her test results at the school's average grade to see if she passed.,Ela precisa levar os resultados do seu teste para ver se alcançou o nota média da escola.,
324,avoid,,evitar,A1,verb,,,She tries to avoid going out when it's raining.,Ela não sai de casa quando chove.,
325,awake,,"""acordado","desperto""",A1,,,She will be awake and ready to help at 7am tomorrow morning.,Ela estará acordada e pronta para ajudar amanhã às 7h da manhã.,
326,award,,premiaÃ§Ã£o,A1,,,,She will receive an award for her volunteer work at the charity event.,Ela receberá um prêmio por seu trabalho de voluntário no evento de caridade.,
327,aware,,"""consciente","alerta""",A1,,,Vigilante ou em guarda contra perigos ou dificuldades.,Guardião de segurança.,
328,away,,"""fora","longe""",A1,,,I put my shoes away after I took them off.,Coloquei meus sapatos de volta depois que retirei-os.,
329,awful,,"""terrÃ­vel","assustador""",A1,,,Muito ruim.,Extremamente ruim.,
331,baby,,"""bebÃª",nenÃª,,,,My baby is sleeping.,Meu bebê está dormindo.,
